title,firm,genre,num_of_reviews,price,stars,description_lenght,PEGI
Farm Heroes Saga,King,Rekreacyjne,9189486,Zainstaluj,4.6,5160,3
Mała Panda: Makijaż księżniczki,BabyBus,Edukacyjne,101097,Zainstaluj,4.2,2376,3
Best Fiends — darmowa gra logiczna,Seriously Digital Entertainment Ltd.,Rekreacyjne,2122284,Zainstaluj,4.6,1162,3
Homescapes,Playrix,Rekreacyjne,10310149,Zainstaluj,4.3,3530,3
Gry samochodowe dla dzieci - budowa domu myjnia,GoKids!,Edukacyjne,159617,Zainstaluj,4.0,3515,3
Gardenscapes,Playrix,Rekreacyjne,10835339,Zainstaluj,4.3,2704,3
Fishdom,Playrix,Łamigłówki,4977735,Zainstaluj,4.3,2815,3
Worms Zone .io – Żarłoczny wąż,CASUAL AZUR GAMES,Akcja,2195961,Zainstaluj,4.3,1336,3
Football Strike - Multiplayer Soccer,Miniclip.com,Sport,1981958,Zainstaluj,4.4,2799,3
Tomb of the Mask,Playgendary Limited,Akcja,1645382,Zainstaluj,4.4,858,3
Talking Tom Hero Dash - Run Game,Outfit7 Limited,Akcja,1032987,Zainstaluj,4.3,7319,7
Zooba: Free-for-all Zoo Combat Battle Royale Games,Wildlife Studios,Akcja,906236,Zainstaluj,4.1,1270,3
Kick the Buddy,Playgendary,Akcja,3291697,Zainstaluj,4.1,1606,12
Jedźmy! — Autobus szkolny Baby Pandy,BabyBus,Edukacyjne,167628,Zainstaluj,4.3,2051,3
Tank Stars,Playgendary Limited,Zręcznościowe,1523590,Zainstaluj,4.1,820,7
Carrom Pool: Disc Game,Miniclip.com,Sport,3361952,Zainstaluj,4.2,2233,3
Zombie Catchers 🧟,Deca Games,Akcja,1834619,Zainstaluj,4.4,3106,7
Paint By Number - Darmowa kolorowanka i łamigłówka,Better Life - Color and Draw,Planszowe,1369717,Zainstaluj,4.6,2627,3
Świat Małej Pandy,BabyBus,Edukacyjne,262463,Zainstaluj,4.3,2907,3
Kuchenne Szaleństwo – Gra o Kuchni Szefa,ZenLife Games,Zręcznościowe,2174615,Zainstaluj,4.6,2276,12
Mała Panda: Makijaż księżniczki,BabyBus,Edukacyjne,101095,Zainstaluj,4.2,2376,3
Football Strike - Multiplayer Soccer,Miniclip.com,Sport,1981993,Zainstaluj,4.4,2799,3
World of Tanks Blitz darmowa online 3D MMO gra,Wargaming Group,Strategie,3741680,Zainstaluj,4.2,2307,7
Tank Stars,Playgendary Limited,Zręcznościowe,1523591,Zainstaluj,4.1,820,7
Jedźmy! — Autobus szkolny Baby Pandy,BabyBus,Edukacyjne,167630,Zainstaluj,4.3,2051,3
Kick the Buddy,Playgendary,Akcja,3291686,Zainstaluj,4.1,1606,12
Family Island — przygodowa gra rolna,Melsoft Games Ltd,Rekreacyjne,656414,Zainstaluj,4.3,1719,3
Board Kings™️ - Gry Planszowe,Jelly Button Games,Rekreacyjne,638645,Zainstaluj,4.4,2841,3
Fishdom,Playrix,Łamigłówki,4977735,Zainstaluj,4.3,2815,3
